iter	Passed	Remaining
0	0	777
1	1	694
2	2	708
3	2	681
4	3	679
5	4	687
6	4	688
7	5	683
8	6	685
9	6	691
10	7	698
11	8	695
12	9	698
13	9	701
14	10	702
15	11	698
16	12	697
17	12	693
18	13	688
19	13	682
20	14	679
21	15	674
22	15	674
23	16	670
24	17	666
25	17	661
26	18	658
27	18	657
28	19	653
29	20	649
30	20	647
31	21	646
32	22	650
33	22	650
34	23	651
35	24	652
36	25	651
37	25	651
38	26	652
39	27	651
40	27	651
41	28	651
42	29	649
43	29	648
44	30	648
45	31	646
46	31	644
47	32	643
48	32	640
49	33	638
50	34	638
51	34	636
52	35	635
53	36	637
54	37	639
55	38	640
56	38	640
57	39	640
58	40	640
59	40	638
60	41	636
61	41	635
62	42	633
63	43	631
64	43	630
65	44	630
66	45	628
67	45	627
68	46	625
69	47	625
70	47	623
71	48	621
72	48	620
73	49	619
74	50	618
75	50	618
76	51	619
77	52	621
78	53	621
79	53	620
80	54	620
81	55	619
82	55	614
83	56	613
84	56	612
85	57	611
86	58	610
87	58	609
88	59	608
89	60	607
90	60	606
91	61	605
92	62	604
93	62	604
94	63	603
95	63	602
96	64	601
97	65	601
98	66	601
99	67	603
100	68	606
101	68	605
102	69	604
103	70	603
104	70	604
105	71	604
106	72	605
107	73	605
108	73	604
109	74	604
110	75	604
111	76	603
112	76	602
113	77	601
114	78	600
115	78	599
116	79	597
117	79	597
118	80	599
119	81	600
120	82	600
121	83	599
122	83	598
123	84	598
124	85	598
125	86	598
126	86	596
127	87	595
128	87	593
129	88	592
130	89	591
131	89	590
132	90	589
133	91	588
134	91	587
135	92	585
136	93	586
137	93	584
138	94	583
139	95	584
140	95	584
141	96	582
142	97	582
143	97	581
144	99	585
145	99	584
146	100	583
147	101	582
148	101	580
149	102	578
150	102	577
151	103	575
152	103	574
153	104	573
154	104	571
155	105	570
156	105	568
157	106	567
158	107	566
159	107	565
160	108	563
161	108	561
162	109	560
163	109	559
164	110	559
165	111	558
166	111	557
167	112	556
168	113	556
169	113	555
170	114	555
171	115	554
172	115	553
173	116	552
174	117	551
175	117	550
176	118	549
177	118	548
178	119	547
179	119	546
180	120	545
181	120	543
182	121	542
183	121	541
184	122	539
185	123	538
186	123	537
187	124	536
188	124	535
189	126	537
190	126	537
191	127	536
192	128	535
193	128	535
194	129	534
195	129	532
196	130	531
197	130	530
198	131	529
199	131	527
200	132	526
201	132	525
202	133	524
203	134	523
204	134	522
205	135	521
206	135	520
207	136	518
208	136	517
209	137	516
210	137	515
211	138	514
212	139	513
213	139	513
214	140	512
215	141	512
