iter	Passed	Remaining
0	1	134
1	2	120
2	3	110
3	4	109
4	5	112
5	6	109
6	8	107
7	9	106
8	10	108
9	11	107
10	13	106
11	14	109
12	16	107
13	17	106
14	18	105
15	19	104
16	21	102
17	22	102
18	23	100
19	24	99
20	25	96
21	26	94
22	27	93
23	29	92
24	30	90
25	31	89
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	79
34	42	78
35	43	77
36	44	75
37	45	74
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	57
52	63	56
53	64	54
54	65	53
55	66	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	75	44
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	102	15
87	104	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
